,county,station,temp
632,Galway,ATHENRY,14.1
633,Galway,ATHENRY,14.9
634,Galway,ATHENRY,15.4
635,Galway,ATHENRY,16.8
636,Galway,ATHENRY,16.2
637,Galway,ATHENRY,16.9
638,Galway,ATHENRY,17.4
639,Galway,ATHENRY,16.7
640,Galway,ATHENRY,17.0
641,Galway,ATHENRY,16.8
642,Galway,ATHENRY,15.8
643,Galway,ATHENRY,14.2
644,Galway,ATHENRY,11.3
645,Galway,ATHENRY,10.5
646,Galway,ATHENRY,10.6
647,Galway,ATHENRY,10.0
648,Galway,ATHENRY,9.6
649,Galway,ATHENRY,9.3
650,Galway,ATHENRY,9.1
651,Galway,ATHENRY,9.4
652,Galway,ATHENRY,9.7
653,Galway,ATHENRY,10.4
654,Galway,ATHENRY,11.9
655,Galway,ATHENRY,12.6
656,Galway,ATHENRY,14.0
657,Galway,ATHENRY,14.5
658,Galway,ATHENRY,14.6
659,Galway,ATHENRY,15.4
660,Galway,ATHENRY,16.9
661,Galway,ATHENRY,16.9
662,Galway,ATHENRY,17.6
663,Galway,ATHENRY,17.5
664,Galway,ATHENRY,17.4
665,Galway,ATHENRY,16.5
666,Galway,ATHENRY,15.7
667,Galway,ATHENRY,15.0
668,Galway,ATHENRY,14.5
669,Galway,ATHENRY,14.2
670,Galway,ATHENRY,14.0
671,Galway,ATHENRY,14.2
672,Galway,ATHENRY,14.2
673,Galway,ATHENRY,14.2
674,Galway,ATHENRY,13.9
675,Galway,ATHENRY,13.8
676,Galway,ATHENRY,13.8
677,Galway,ATHENRY,13.9
678,Galway,ATHENRY,14.0
679,Galway,ATHENRY,14.6
680,Galway,ATHENRY,14.9
681,Galway,ATHENRY,15.6
682,Galway,ATHENRY,16.6
683,Galway,ATHENRY,17.3
684,Galway,ATHENRY,18.5
685,Galway,ATHENRY,20.0
686,Galway,ATHENRY,20.6
687,Galway,ATHENRY,21.1
688,Galway,ATHENRY,19.0
689,Galway,ATHENRY,18.1
690,Galway,ATHENRY,17.5
691,Galway,ATHENRY,16.6
692,Galway,ATHENRY,15.9
693,Galway,ATHENRY,15.6
694,Galway,ATHENRY,15.4
695,Galway,ATHENRY,15.5
696,Galway,ATHENRY,15.3
697,Galway,ATHENRY,15.4
698,Galway,ATHENRY,15.3
699,Galway,ATHENRY,15.2
700,Galway,ATHENRY,15.1
701,Galway,ATHENRY,15.2
702,Galway,ATHENRY,15.2
703,Galway,ATHENRY,15.3
704,Galway,ATHENRY,15.4
705,Galway,ATHENRY,15.5
706,Galway,ATHENRY,16.1
707,Galway,ATHENRY,16.2
708,Galway,ATHENRY,16.8
709,Galway,ATHENRY,16.9
710,Galway,ATHENRY,18.1
711,Galway,ATHENRY,19.3
712,Galway,ATHENRY,18.8
713,Galway,ATHENRY,17.6
714,Galway,ATHENRY,16.7
715,Galway,ATHENRY,15.9
716,Galway,ATHENRY,14.8
717,Galway,ATHENRY,14.5
718,Galway,ATHENRY,14.1
719,Galway,ATHENRY,13.6
720,Galway,ATHENRY,13.1
721,Galway,ATHENRY,13.0
722,Galway,ATHENRY,12.8
723,Galway,ATHENRY,12.6
724,Galway,ATHENRY,12.0
725,Galway,ATHENRY,12.6
726,Galway,ATHENRY,13.2
727,Galway,ATHENRY,13.9
728,Galway,ATHENRY,15.0
729,Galway,ATHENRY,16.2
730,Galway,ATHENRY,16.9
731,Galway,ATHENRY,17.9
732,Galway,ATHENRY,17.9
733,Galway,ATHENRY,18.6
734,Galway,ATHENRY,18.7
735,Galway,ATHENRY,18.8
736,Galway,ATHENRY,19.4
737,Galway,ATHENRY,18.4
738,Galway,ATHENRY,18.6
739,Galway,ATHENRY,15.4
740,Galway,ATHENRY,13.1
741,Galway,ATHENRY,12.0
742,Galway,ATHENRY,10.7
743,Galway,ATHENRY,9.4
744,Galway,ATHENRY,10.1
745,Galway,ATHENRY,11.3
746,Galway,ATHENRY,9.8
747,Galway,ATHENRY,9.4
748,Galway,ATHENRY,9.1
749,Galway,ATHENRY,11.7
750,Galway,ATHENRY,12.6
751,Galway,ATHENRY,12.9
752,Galway,ATHENRY,13.1
753,Galway,ATHENRY,13.6
754,Galway,ATHENRY,14.4
755,Galway,ATHENRY,14.9
756,Galway,ATHENRY,15.4
757,Galway,ATHENRY,15.6
758,Galway,ATHENRY,15.9
759,Galway,ATHENRY,15.9
760,Galway,ATHENRY,15.9
761,Galway,ATHENRY,16.0
762,Galway,ATHENRY,16.5
763,Galway,ATHENRY,16.7
764,Galway,ATHENRY,15.8
765,Galway,ATHENRY,14.9
766,Galway,ATHENRY,14.2
767,Galway,ATHENRY,13.9
768,Galway,ATHENRY,13.2
769,Galway,ATHENRY,12.8
770,Galway,ATHENRY,12.6
771,Galway,ATHENRY,12.4
772,Galway,ATHENRY,12.3
773,Galway,ATHENRY,12.4
774,Galway,ATHENRY,13.0
775,Galway,ATHENRY,13.9
776,Galway,ATHENRY,14.5
777,Galway,ATHENRY,15.2
778,Galway,ATHENRY,15.1
779,Galway,ATHENRY,16.2
780,Galway,ATHENRY,15.8
781,Galway,ATHENRY,15.9
782,Galway,ATHENRY,16.1
783,Galway,ATHENRY,16.0
784,Galway,ATHENRY,15.7
785,Galway,ATHENRY,15.3
786,Galway,ATHENRY,14.6
787,Galway,ATHENRY,13.9
788,Galway,ATHENRY,13.2
789,Galway,ATHENRY,12.9
790,Galway,ATHENRY,12.8
791,Galway,ATHENRY,12.4
792,Galway,ATHENRY,12.1
793,Galway,ATHENRY,12.1
794,Galway,ATHENRY,11.9
795,Galway,ATHENRY,11.7
796,Galway,ATHENRY,11.6
797,Galway,ATHENRY,11.9
798,Galway,ATHENRY,12.5
799,Galway,ATHENRY,13.1
800,Galway,ATHENRY,14.3
801,Galway,ATHENRY,15.4
802,Galway,ATHENRY,16.0
803,Galway,ATHENRY,16.5
804,Galway,ATHENRY,16.4
805,Galway,ATHENRY,16.4
806,Galway,ATHENRY,17.5
807,Galway,ATHENRY,17.2
808,Galway,ATHENRY,16.0
809,Galway,ATHENRY,15.5
810,Galway,ATHENRY,16.0
811,Galway,ATHENRY,15.6
812,Galway,ATHENRY,14.8
813,Galway,ATHENRY,14.6
814,Galway,ATHENRY,14.6
815,Galway,ATHENRY,14.5
816,Galway,ATHENRY,14.2
817,Galway,ATHENRY,13.6
818,Galway,ATHENRY,13.1
819,Galway,ATHENRY,13.7
820,Galway,ATHENRY,13.4
821,Galway,ATHENRY,13.6
822,Galway,ATHENRY,13.7
823,Galway,ATHENRY,15.5
